SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,SECURITY_INNER_CODE,ACCOUNTING_STANDARDS,NOTICE_DATE,START_DATE,REPORT_DATE,FINANCIAL_DATE,STD_REPORT_DATE,CURRENCY,DATE_TYPE,DATE_TYPE_CODE,REPORT_TYPE,REPORT_DATA_TYPE,ORGTYPE,OPERATE_INCOME,OPERATE_INCOME_YOY,GROSS_PROFIT,GROSS_PROFIT_YOY,PARENT_HOLDER_NETPROFIT,PARENT_HOLDER_NETPROFIT_YOY,BASIC_EPS,DILUTED_EPS,GROSS_PROFIT_RATIO,NET_PROFIT_RATIO,ACCOUNTS_RECE_TR,INVENTORY_TR,TOTAL_ASSETS_TR,ACCOUNTS_RECE_TDAYS,INVENTORY_TDAYS,TOTAL_ASSETS_TDAYS,ROE_AVG,ROA,CURRENT_RATIO,SPEED_RATIO,OCF_LIQDEBT,DEBT_ASSET_RATIO,EQUITY_RATIO,BASIC_EPS_YOY,GROSS_PROFIT_RATIO_YOY,NET_PROFIT_RATIO_YOY,ROE_AVG_YOY,ROA_YOY,DEBT_ASSET_RATIO_YOY,CURRENT_RATIO_YOY,SPEED_RATIO_YOY,CURRENCY_ABBR
TSLA.O,TSLA,特斯拉,10266819,1000195568,美国会计准则,2025-01-30 00:00:00,2024-01-01 00:00:00,2024-12-31 00:00:00,12-31,2024-12-31 00:00:00,美元,年报,001,2024/FY,2024年 年报,一般企业,97690000000.0,0.9475783535,17450000000.0,-1.1891279728,7091000000,-52.7172101087,2.23,2.04,17.8626266762,7.3221414679,24.650517284885,6.258238115665,0.854351780592,14.604156003685,57.524177467598,421.372095403778,10.4627915041,6.2014622543,2.024912390271,1.607959473995,0.517782172721,39.6411894814,65.6758957655,-52.8541226216,-2.1166494146,-52.6789370727,-62.557340986,-60.9320696899,-1.7306996179,17.3254220322,28.440174933,USD
TSLA.O,TSLA,特斯拉,10266819,1000195568,美国会计准则,2025-01-30 00:00:00,2023-01-01 00:00:00,2023-12-31 00:00:00,12-31,2023-12-31 00:00:00,美元,年报,001,2023/FY,2023年 年报,一般企业,96773000000.0,18.7952665046,17660000000.0,-15.3119455234,14997000000,19.4409047467,4.73,4.3,18.2488917363,15.473324171,29.960681114551,5.978688834309,1.024291369419,12.015748194228,60.213871298021,351.462494704217,27.9435055619,15.8735366964,1.725893975233,1.251913176569,0.46111033811,40.3393423249,67.6146457262,17.6616915423,-28.7109183993,0.1420460492,-16.6624338147,-8.6797557742,-8.8512412637,12.6595356074,19.0873603283,USD
TSLA.O,TSLA,特斯拉,10266819,1000195568,美国会计准则,2025-01-30 00:00:00,2022-01-01 00:00:00,2022-12-31 00:00:00,12-31,2022-12-31 00:00:00,美元,年报,001,2022/FY,2022年 年报,一般企业,81462000000.0,51.3516526392,20853000000.0,53.2632662061,12556000000,127.5049827867,4.02,3.62,25.5984385358,15.4513761017,33.489003083248,6.51849860185,1.127743668192,10.749797451572,55.227441469088,319.221477498652,33.5305035184,17.3822757823,1.531955520611,1.051256130892,0.551274851174,44.2566008404,79.3934376226,114.9732620321,1.2630278782,47.3492941032,59.3746935215,79.9627735215,-9.9873357727,11.3918211573,-2.9424070692,USD
TSLA.O,TSLA,特斯拉,10266819,1000195568,美国会计准则,2024-01-29 00:00:00,2021-01-01 00:00:00,2021-12-31 00:00:00,12-31,2021-12-31 00:00:00,美元,年报,001,2021/FY,2021年 年报,一般企业,53823000000.0,70.6716133942,13606000000.0,105.2187028658,5519000000,665.4646324549,1.87,1.63,25.2791557513,10.4862233618,28.335351408265,8.159261513492,0.941957840023,12.704977426008,44.121640102442,382.18270999391,21.0387877633,9.6588174555,1.375285460543,1.083126110124,0.583455975641,49.1670824548,96.7229205585,648.0,20.2418485331,283.6351971436,321.5636155577,479.1070601691,-9.7767254608,-26.6569328824,-31.7634381984,USD
TSLA.O,TSLA,特斯拉,10266819,1000195568,美国会计准则,2023-01-31 00:00:00,2020-01-01 00:00:00,2020-12-31 00:00:00,12-31,2020-12-31 00:00:00,美元,年报,001,2020/FY,2020年 年报,一般企业,31536000000.0,28.309870616,6630000000.0,62.9392971246,721000000,183.6426914153,0.25,0.21,21.0235920852,2.733384069,19.648598130841,6.508820070561,0.729518720289,18.321917808219,55.309563960488,493.476027397056,4.9906554994,1.6678811432,1.875140370578,1.587310499719,0.417111173498,54.4948991332,119.7555836494,125.5102040816,26.9889029905,186.6853079325,133.4090226906,161.9641063456,-28.6359977724,65.2658211432,98.0100701731,USD
TSLA.O,TSLA,特斯拉,10266819,1000195568,美国会计准则,2022-02-07 00:00:00,2019-01-01 00:00:00,2019-12-31 00:00:00,12-31,2019-12-31 00:00:00,美元,年报,001,2019/FY,2019年 年报,一般企业,24578000000.0,14.5240203159,4069000000.0,0.6679861455,-862000000,11.6803278689,-0.98,-0.98,16.555456099,-3.1532264627,21.626044874615,6.15423855964,0.767474902028,16.64659451542,58.496269930274,469.070713646433,-14.938046963,-2.6916891755,1.1346207931,0.801631199025,0.225461704322,76.3618875514,323.045622688,14.0350877193,-12.0988017464,36.3392350745,29.8989903425,19.476336726,-3.0604628942,36.4904969959,54.2298916415,USD
TSLA.O,TSLA,特斯拉,10266819,1000195568,美国会计准则,2021-02-08 00:00:00,2018-01-01 00:00:00,2018-12-31 00:00:00,12-31,2018-12-31 00:00:00,美元,年报,001,2018/FY,2018年 年报,一般企业,21461000000.0,82.5070159027,4042000000.0,81.8263607737,-976000000,50.254841998,-1.14,-1.14,18.834164298,-4.9531708681,29.310678027098,6.479635497719,0.73502400156,12.28221331718,55.558680750905,489.779924513952,-21.3093178486,-3.3427306534,0.831281897328,0.519763834684,0.209946962874,78.7726967048,371.0913987011,90.3634826712,-0.3729473776,74.0096670068,51.1308102741,56.2825963441,-1.956179108,-2.9024454843,-7.3825945183,USD
TSLA.O,TSLA,特斯拉,10266819,1000195568,美国会计准则,2020-02-13 00:00:00,2017-01-01 00:00:00,2017-12-31 00:00:00,12-31,2017-12-31 00:00:00,美元,年报,001,2017/FY,2017年 年报,一般企业,11759000000.0,67.9825466148,2223000000.0,39.0020490765,-1962000000,-190.703704472,-11.83,-11.83,18.9046687644,-19.0577430054,23.181337436411,4.403611090395,0.458266815341,15.529733820903,81.751088506707,785.568555148644,-43.6048110642,-7.6462240981,0.856130621903,0.561194552991,-0.007948224484,80.3443766146,408.7602567435,-152.7777777778,-17.2520884592,-72.5728050595,-90.3571214116,-74.0843082792,8.7112180891,-20.3060704457,-21.998647385,USD
TSLA.O,TSLA,特斯拉,10266819,1000195568,美国会计准则,2019-02-19 00:00:00,2016-01-01 00:00:00,2016-12-31 00:00:00,12-31,2016-12-31 00:00:00,美元,年报,001,2016/FY,2016年 年报,一般企业,7000132000.0,73.0125740696,1599257000.0,73.1729079386,-674914000,24.0528749368,-4.68,-4.68,22.8460977593,-11.0433060405,20.95512245793,3.2289408518,0.455559585013,17.179570328102,111.491667553871,790.236912674611,-22.906845166,-4.3922534855,1.074273318798,0.719467719695,-0.021250882743,73.906242637,283.2334247957,32.4675324675,0.0926718012,49.7205438704,72.9228760087,65.6527836497,-14.0442042519,8.5482884906,34.4563201339,USD
TSLA.O,TSLA,特斯拉,10266819,1000195568,美国会计准则,2018-02-23 00:00:00,2015-01-01 00:00:00,2015-12-31 00:00:00,12-31,2015-12-31 00:00:00,美元,年报,001,2015/FY,2015年 年报,一般企业,4046025000.0,26.5032723061,923503000.0,4.744626964,-888663000,-202.2252074548,-6.93,-6.93,22.8249454712,-21.9638534117,20.45673447616,2.798569401119,0.582220260075,17.598116670065,128.637152916792,618.322694496454,-84.5985163466,-12.7878004456,0.989673198662,0.535094013415,-0.186585723764,85.981686277,613.3525613423,-193.6440677966,-17.2000652198,-138.9070274203,-135.4951211074,-79.3440086239,3.1382906462,-34.422709311,-49.3562286765,USD
