SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,REPORT_DATE,DATE_TYPE_CODE,PER_NETCASH_OPERATE,PER_OI,BPS,BASIC_EPS,DILUTED_EPS,OPERATE_INCOME,OPERATE_INCOME_YOY,GROSS_PROFIT,GROSS_PROFIT_YOY,HOLDER_PROFIT,HOLDER_PROFIT_YOY,GROSS_PROFIT_RATIO,EPS_TTM,OPERATE_INCOME_QOQ,NET_PROFIT_RATIO,ROE_AVG,GROSS_PROFIT_QOQ,ROA,HOLDER_PROFIT_QOQ,ROE_YEARLY,ROIC_YEARLY,TAX_EBT,OCF_SALES,DEBT_ASSET_RATIO,CURRENT_RATIO,CURRENTDEBT_DEBT,START_DATE,FISCAL_YEAR,CURRENCY,IS_CNY_CODE
00700.HK,00700,腾讯控股,10009066,2024-12-31 00:00:00,001,28.024215000045,71.573234372777,106.459538690985,20.938,20.486,660257000000,8.4139142714,349246000000,19.152260763061,194073000000,68.4427510068,52.895463433178,21.037917529731,2.682707964299,29.756140412,21.77978260955,3.893716328977,11.558015044185,14.312556693015,21.77978260955,15.347781181841,18.64215168644,39.154601920161,40.8254374661,1.250110226777,54.588027215001,2024-01-01 00:00:00,12-31,HKD,0
00700.HK,00700,腾讯控股,10009066,2023-12-31 00:00:00,001,23.406323743267,64.221813889341,88.421140867921,12.186,11.887,609015000000,9.8210808004,293109000000,22.770224422608,115216000000,-38.7940056204,48.128371222384,12.149750842055,1.710497968345,19.3834306216,15.061092222,5.675512948548,7.302835762573,-40.750492391712,15.061092222,9.565462847655,26.825518831668,36.44606454685,44.6071823926,1.472201319298,50.053228912752,2023-01-01 00:00:00,12-31,HKD,0
00700.HK,00700,腾讯控股,10009066,2022-12-31 00:00:00,001,15.267529085326,57.954554280041,78.885635917108,19.757,19.341,554552000000,-0.9937191806,238746000000,-2.926682496829,188243000000,-16.2702048732,43.052049221714,19.672707268818,0.138320578707,34.0290901484,24.644135917627,1.706135698493,11.80023789412,6.392250173795,24.644135917627,14.791198654167,10.234748483767,26.343967743332,50.393218307,1.303509410323,54.598243869071,2022-01-01 00:00:00,12-31,HKD,0
00700.HK,00700,腾讯控股,10009066,2021-12-31 00:00:00,001,18.232629008652,58.294747839829,88.170505806599,23.597,23.164,560118000000,16.1916260082,245944000000,11.019626961342,224822000000,40.6482448842,43.909319107759,23.398537091909,1.91394089145,40.6717870163,29.772168527356,-0.430755279181,15.263958145,18.849053212522,29.772168527356,19.312348385412,8.164088010256,31.276623854259,45.6268559705,1.202714972538,54.793243175278,2021-01-01 00:00:00,12-31,HKD,0
00700.HK,00700,腾讯控股,10009066,2020-12-31 00:00:00,001,20.233559116859,50.246861163046,76.982143546938,16.844,16.523,482064000000,27.7704889355,221532000000,32.231858797968,159847000000,71.3074697246,45.954893955989,16.661293969949,6.14362276016,33.2165438614,28.124994501579,6.118538601929,13.976237764005,30.885881090995,28.124994501579,18.205321383767,11.052538023131,40.268304623453,41.6507865084,1.180497177409,48.449355578683,2020-01-01 00:00:00,12-31,HKD,0
00700.HK,00700,腾讯控股,10009066,2019-12-31 00:00:00,001,15.554902563465,39.495885545914,47.317318867505,9.856,9.643,377289000000,20.657575777,167533000000,17.881367858148,93310000000,18.5355505024,44.404422074325,9.768005641005,5.855764860361,25.4150001723,24.678134289674,6.997196267651,11.124841803939,8.554277138569,24.678134289674,14.952830717803,12.351005484461,39.383602490399,48.75983505,1.057512616799,51.628464921898,2019-01-01 00:00:00,12-31,HKD,0
00700.HK,00700,腾讯控股,10009066,2018-12-31 00:00:00,001,11.180626736361,32.844948908802,35.376504663274,8.336,8.228,312694000000,31.5166554509,142120000000,21.548000855249,78719000000,10.0811075374,45.450184525447,8.268535799062,6.289812706074,25.5790005565,27.163965878975,2.641138787979,12.31723221767,-7.701056432985,27.163965878975,17.08823388949,15.330383418373,34.040627578399,50.7675658343,1.072344209252,55.112247287062,2018-01-01 00:00:00,12-31,HKD,0
00700.HK,00700,腾讯控股,10009066,2017-12-31 00:00:00,001,11.173740852659,25.029853261053,28.002235031817,7.598,7.499,237760000000,56.4848819913,116925000000,38.374418632173,71510000000,74.0114369145,49.177742261104,7.528115775142,10.466845078799,30.4807368775,33.206562370849,7.215558978873,15.04569358838,16.766271513014,33.206562370849,21.892402408746,17.847304880122,44.641655450875,50.0438096749,1.175998418347,54.665518645143,2017-01-01 00:00:00,12-31,HKD,0
00700.HK,00700,腾讯控股,10009066,2016-12-31 00:00:00,001,6.913308312443,16.032147476662,19.095504776729,4.383,4.329,151938000000,47.709088788,84499000000,37.998105565717,41095000000,42.6612511282,55.614132080191,4.336249658107,9.690647222322,27.2788900736,27.893259666258,7.432647197183,11.696031261518,8.91863238802,27.893259666258,16.910200437003,19.738574748257,43.12153641617,52.9559306793,1.473897447553,48.269036307786,2016-01-01 00:00:00,12-31,HKD,0
